timestamp_s,frame_index,action,detected,confidence,target_cx,target_cy,dx,dy,norm_area,fps
49.715,243,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
49.894,244,SEARCH,0,0.0,-1,-1,0,0,0.0,5.57
50.077,245,SEARCH,0,0.0,-1,-1,0,0,0.0,5.47
50.258,246,SEARCH,0,0.0,-1,-1,0,0,0.0,5.51
50.447,247,SEARCH,0,0.0,-1,-1,0,0,0.0,5.31
50.628,248,SEARCH,0,0.0,-1,-1,0,0,0.0,5.51
50.826,249,SEARCH,0,0.0,-1,-1,0,0,0.0,5.05
51.017,250,SEARCH,0,0.0,-1,-1,0,0,0.0,5.24
51.21,251,SEARCH,0,0.0,-1,-1,0,0,0.0,5.19
51.47,252,SEARCH,0,0.0,-1,-1,0,0,0.0,3.84
51.677,253,SEARCH,0,0.0,-1,-1,0,0,0.0,4.84
51.883,254,SEARCH,0,0.0,-1,-1,0,0,0.0,4.85
52.065,255,SEARCH,0,0.0,-1,-1,0,0,0.0,5.51
52.254,256,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
52.44,257,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
52.64,258,SEARCH,0,0.0,-1,-1,0,0,0.0,5.01
52.823,259,SEARCH,0,0.0,-1,-1,0,0,0.0,5.47
53.0,260,SEARCH,0,0.0,-1,-1,0,0,0.0,5.65
53.186,261,SEARCH,0,0.0,-1,-1,0,0,0.0,5.35
53.385,262,SEARCH,0,0.0,-1,-1,0,0,0.0,5.04
53.57,263,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
53.762,264,SEARCH,0,0.0,-1,-1,0,0,0.0,5.21
53.956,265,SEARCH,0,0.0,-1,-1,0,0,0.0,5.15
54.15,266,SEARCH,0,0.0,-1,-1,0,0,0.0,5.16
54.345,267,SEARCH,0,0.0,-1,-1,0,0,0.0,5.14
54.528,268,SEARCH,0,0.0,-1,-1,0,0,0.0,5.46
54.717,269,SEARCH,0,0.0,-1,-1,0,0,0.0,5.28
54.902,270,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
55.09,271,SEARCH,0,0.0,-1,-1,0,0,0.0,5.34
55.281,272,SEARCH,0,0.0,-1,-1,0,0,0.0,5.23
55.463,273,SEARCH,0,0.0,-1,-1,0,0,0.0,5.48
55.649,274,SEARCH,0,0.0,-1,-1,0,0,0.0,5.38
55.828,275,SEARCH,0,0.0,-1,-1,0,0,0.0,5.61
56.012,276,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
56.202,277,SEARCH,0,0.0,-1,-1,0,0,0.0,5.26
56.394,278,SEARCH,0,0.0,-1,-1,0,0,0.0,5.21
56.579,279,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
56.765,280,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
56.95,281,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
57.144,282,SEARCH,0,0.0,-1,-1,0,0,0.0,5.17
57.333,283,SEARCH,0,0.0,-1,-1,0,0,0.0,5.27
57.516,284,SEARCH,0,0.0,-1,-1,0,0,0.0,5.48
57.705,285,SEARCH,0,0.0,-1,-1,0,0,0.0,5.27
57.88,286,SEARCH,0,0.0,-1,-1,0,0,0.0,5.73
58.058,287,SEARCH,0,0.0,-1,-1,0,0,0.0,5.59
58.247,288,SEARCH,0,0.0,-1,-1,0,0,0.0,5.31
58.431,289,SEARCH,0,0.0,-1,-1,0,0,0.0,5.43
58.618,290,SEARCH,0,0.0,-1,-1,0,0,0.0,5.36
58.801,291,SEARCH,0,0.0,-1,-1,0,0,0.0,5.45
58.985,292,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
59.16,293,SEARCH,0,0.0,-1,-1,0,0,0.0,5.72
59.349,294,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
59.533,295,SEARCH,0,0.0,-1,-1,0,0,0.0,5.44
59.713,296,SEARCH,0,0.0,-1,-1,0,0,0.0,5.58
59.939,297,SEARCH,0,0.0,-1,-1,0,0,0.0,4.42
60.143,298,SEARCH,0,0.0,-1,-1,0,0,0.0,4.88
60.361,299,SEARCH,0,0.0,-1,-1,0,0,0.0,4.6
60.553,300,SEARCH,0,0.0,-1,-1,0,0,0.0,5.2
60.73,301,SEARCH,0,0.0,-1,-1,0,0,0.0,5.64
60.914,302,SEARCH,0,0.0,-1,-1,0,0,0.0,5.46
61.101,303,SEARCH,0,0.0,-1,-1,0,0,0.0,5.35
61.281,304,SEARCH,0,0.0,-1,-1,0,0,0.0,5.53
